strainName,TestNumber,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
C57BL/6J,1,9.146,7.627,6.631,7.363,6.961,6.924,6.002,5.717,6.253,5.493,5.782,6.06,5.979,5.086,5.764,5.925,6.653,5.024,5.229,5.325,5.484,5.732,5.545,5.365,4.82,4.584,5.216,5.124,5.043,6.067,5.708,5.295,5.413,3.938,4.169,5.354,4.631,4.204,4.521,5.207,4.944,4.545,4.678,5.11,4.775,4.143,4.495,5.057,4.983,5.379,5.866,5.315,5.886,4.462,5.094,5.36,4.023,4.237,5.225,10.566,10.44,3.286,3.484,4.087,3.83,3.347,2.271,3.382,3.575,3.869,3.563,3.756,3.535,3.474,3.269,3.335,4.186,3.614,3.729,3.373,3.051,3.257,3.856,3.463,2.824,3.399,4.065,4.567,3.926,3.942,3.645,2.992,2.484,2.46,2.999,3.966,2.738,2.337,2.585,2.926,3.292,2.99,3.155,2.747,2.498,2.516,2.342,2.333,2.023,1.78,2.209,2.276,2.407,3.234,2.953,3.007,3.023,2.437,2.578,2.193,1.343,0.868,1.566,2.711,2.859,3.012,2.96,3.373,1.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,2,3.869,4.432,3.036,3.738,4.495,3.994,4.478,4.683,4.272,4.519,4.531,4.077,4.715,4.56,4.455,4.061,3.392,3.336,3.942,5.435,4.504,4.513,4.622,5.324,4.686,3.579,4.306,3.927,3.995,3.659,3.96,4.581,4.936,4.846,4.472,5.985,5.4,5.745,5.717,4.876,5.9,5.118,4.783,4.489,5.245,4.549,5.046,4.948,4.208,5.458,5.107,4.865,4.861,4.185,4.518,4.982,4.061,4.624,4.293,7.942,9.973,3.871,3.289,2.679,2.408,3.297,3.453,3.649,3.7,3.707,3.353,2.598,2.868,2.285,3.394,3.122,3.087,3.585,3.471,3.318,2.865,3.193,2.969,2.434,1.875,1.774,2.042,2.134,3.626,3.898,3.931,3.793,3.079,2.91,2.692,2.25,2.405,1.788,1.544,1.052,2.473,2.886,2.79,3.346,3.214,3.743,3.043,3.548,3.499,3.04,2.382,3.105,3.389,2.799,2.848,2.668,2.212,1.703,1.035,1.31,2.406,2.867,3.224,2.697,2.785,2.631,2.354,2.377,1.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,3,5.944,6.058,5.541,6.769,6.615,6.473,6.73,5.324,6.237,6.734,6.534,5.306,6.678,5.971,5.76,6.019,5.706,6.365,5.866,5.711,4.153,5.12,5.44,5.779,4.612,3.619,5.569,3.96,3.347,3.909,2.931,3.93,4.136,4.085,3.68,3.971,3.324,3.163,2.72,2.717,2.654,3.687,3.778,3.315,3.774,3.876,3.345,3.311,3.448,2.769,2.801,2.423,2.882,3.551,3.223,3.646,3.236,3.202,4.052,5.9,12.695,3.638,2.133,3.267,3.074,3.597,2.727,1.784,2.188,2.298,2.609,3.11,2.979,2.545,2.964,2.394,2.307,1.783,1.64,1.582,1.347,1.382,2.045,1.466,1.947,1.499,2.652,2.458,2.574,2.04,1.905,1.228,0.981,1.813,0.401,0.539,0.235,0.581,0.958,1.255,1.392,1.66,1.427,1.545,1.548,1.616,1.452,1.958,1.911,1.462,1.812,1.644,1.461,1.867,1.094,1.421,2.051,1.613,1.371,1.82,2.051,1.798,1.793,1.768,2.063,2.877,2.125,1.86,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,4,6.173,6.692,7.144,6.739,7.482,7.711,6.973,7.03,5.999,4.999,6.563,6.956,5.941,4.918,5.966,6.406,6.253,6.157,5.145,4.715,5.29,4.823,5.224,5.47,4.756,5.299,5.12,4.77,4.682,4.658,4.738,4.778,4.268,3.951,3.693,3.394,3.911,3.707,4.536,3.813,4.656,3.034,2.152,2.943,4.363,5.103,4.33,4.543,4.433,3.278,2.99,2.029,2.458,1.998,2.548,3.755,2.618,1.546,2.274,5.854,7.296,3.305,2.454,3.633,2.95,3.678,2.631,3.118,2.959,2.915,2.064,2.633,3.05,2.191,1.386,1.561,1.957,1.755,2.01,2.641,3.414,4.559,4.523,4.261,4.471,3.74,3.815,2.052,1.937,1.665,0.97,1.519,1.116,0.439,0.772,0.754,1.15,1.207,1.699,1.872,2.267,2.159,1.228,1.343,1.779,1.968,2.442,2.291,2.28,1.568,1.504,1.654,0.502,1.035,1.061,2.415,2.772,3.037,2.968,2.503,3.081,3.226,2.413,2.398,2.054,2.605,2.276,2.438,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,5,6.933,8.222,7.705,7.955,6.853,7.063,7.054,6.463,6.562,5.633,4.972,4.836,5.557,4.298,4.69,4.756,4.816,3.822,4.338,4.677,3.547,3.912,4.353,4.781,4.411,4.113,4.256,4.074,4.222,4.014,3.124,2.388,2.671,3.613,2.016,2.092,3.753,2.566,2.857,2.415,2.728,2.79,3.044,3.329,2.917,2.237,2.074,2.42,2.436,2.215,2.496,3.015,2.762,3.393,2.863,3.042,3.183,3.659,2.518,5.075,8.793,4.523,5.031,7.965,7.463,7.321,8.641,8.349,9.267,9.612,10.488,8.571,8.59,9.484,9.117,8.283,7.595,6.361,5.906,5.007,6.069,4.823,4.376,5.427,4.368,3.793,3.938,3.649,3.739,3.402,2.719,3.193,2.671,2.972,2.806,4.201,3.544,4.137,3.928,3.705,4.964,5.418,4.678,3.417,3.692,2.973,4.179,3.281,3.076,2.337,2.049,2.396,2.344,2.391,3.074,2.384,1.696,1.253,1.464,1.523,1.521,1.751,2.115,2.952,2.958,3.118,2.009,3.179,2.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,6,8.004,6.724,6.604,6.784,6.172,6.708,6.367,5.901,5.768,5.205,5.512,5.45,6.229,5.991,5.499,5.184,4.468,5.459,5.422,4.948,4.679,4.278,5.007,5.269,4.692,4.557,4.046,3.662,4.171,5.059,4.05,4.291,4.563,2.892,2.917,2.986,3.35,4.501,3.771,4.377,4.066,4.386,4.192,3.687,2.796,3.606,3.146,2.112,3.682,4.963,3.995,4.028,3.548,3.075,3.329,2.968,3.285,1.379,2.957,5.585,10.053,10.151,11.928,12.131,12.435,12.567,11.939,10.867,9.751,8.477,7.444,7.173,7.328,7.825,8.177,5.149,5.141,3.066,4.235,7.086,6.511,7.347,4.244,3.933,2.87,3.402,3.581,3.4,3.955,2.575,1.837,4.792,3.189,3.661,2.328,2.698,3.363,2.759,2.192,1.903,1.804,2.23,3.259,3.107,1.966,2.739,2.407,2.133,1.578,1.133,1.365,2.287,2.661,2.847,2.68,2.835,2.467,2.14,2.803,2.767,3.045,3.995,2.923,2.896,3.738,3.907,2.942,3.389,2.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,7,7.111,8.654,7.827,7.752,8.313,9.208,7.343,6.062,5.655,5.444,4.468,5.27,5.659,4.219,4.394,4.662,4.364,4.139,3.94,4.026,3.725,5.074,4.562,4.142,3.331,3.624,3.344,2.73,3.815,3.505,3.82,2.902,3.569,3.739,4.263,4.528,3.764,3.138,2.042,2.581,1.769,1.898,1.023,2.09,2.281,3.067,2.516,2.525,3.262,3.369,4.655,3.521,3.126,4.245,2.757,3.168,3.322,3.19,2.931,6.278,12.378,10.829,14.968,16.388,16.151,14.603,13.037,12.255,11.181,8.792,6.522,7.06,6.476,6.37,4.991,4.644,5.746,4.985,4.011,2.286,1.968,2.725,3.39,4.895,3.454,3.063,3.352,1.935,2.464,1.912,2.225,1.738,2.025,1.982,1.941,1.94,1.362,0.773,1.763,0.882,0.567,1.263,1.734,1.479,1.751,1.643,2.439,2.068,2.626,2.926,1.602,1.856,2.001,1.983,1.691,1.559,0.997,1.227,1.375,1.479,1.437,1.449,1.715,2.077,2.983,2.517,1.877,1.761,1.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,8,8.621,6.864,7.029,7.41,8.876,8.442,6.333,5.59,5.273,5.369,5.542,4.854,3.291,4.224,4.961,4.612,5.52,4.587,2.96,3.323,3.946,3.939,5.191,4.442,4.189,4.345,3.93,2.614,3.802,3.139,4.05,3.245,3.538,3.143,1.647,1.123,2.163,1.848,3.18,3.003,2.801,3.759,2.515,2.573,2.526,1.617,0.722,0.843,1.486,1.857,1.903,3.353,3.664,2.068,2.161,2.703,2.609,1.762,1.028,6.108,14.41,7.641,12.36,14.565,14.276,13.737,12.541,11.548,8.176,8.815,7.495,5.793,7.402,5.721,3.796,2.604,2.743,2.81,3.647,4.527,3.907,3.359,2.451,2.419,2.272,3.586,3.307,2.702,2.608,2.165,2.286,1.978,1.922,2.544,2.935,2.625,1.428,1.694,1.614,1.308,1.072,1.38,1.449,1.95,1.661,1.835,1.974,2.446,1.658,1.347,1.503,2.269,2.363,1.661,1.936,3.069,1.801,1.8,2.597,1.799,1.966,2.138,2.018,1.794,1.434,0.908,0.969,1.939,1.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,9,7.873,8.713,7.76,8.122,7.499,7.152,7.08,7.009,6.169,5.44,4.903,5.123,4.689,4.554,5.081,5.297,4.529,4.751,3.526,4.285,4.702,4.016,4.617,3.843,4.358,3.907,4.179,3.783,3.221,4.167,3.097,2.668,2.614,2.644,3.557,2.962,2.471,1.719,2.552,2.423,2.531,2.856,3.781,4.866,6.075,6.496,6.513,5.736,4.163,4.239,3.271,3.044,2.562,2.562,2.342,2.702,2.621,1.95,2.148,10.576,13.91,12.143,17.758,20.033,19.696,20.045,17.707,15.582,10.991,9.293,8.121,8.414,9.629,9.78,8.216,7.916,6.815,5.14,5.437,5.087,5.014,6.148,6.57,4.913,4.131,3.892,4.406,3.789,3.636,2.347,2.64,2.861,2.596,2.279,3.139,2.463,2.363,2.765,2.411,3.275,2.404,2.765,2.35,1.661,1.209,1.53,1.95,1.34,0.963,1.411,1.328,0.793,1.642,1.382,2.03,1.598,1.702,1.736,2.413,2.884,3.758,3.91,3.957,4.403,4.841,3.758,2.4,3.333,1.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,10,8.458,8.862,8.516,9.049,7.406,8.613,8.904,7.936,5.857,6.865,5.855,5.464,5.194,6.898,6.091,5.204,4.521,5.492,5.378,4.527,4.579,4.005,5.352,4.442,3.78,4.207,4.8,3.746,3.987,4.39,3.492,3.531,2.679,2.26,3.235,3.075,3.172,3.164,2.899,2.435,2.917,3.64,3.132,4.067,3.789,3.987,2.935,2.52,2.196,2.991,2.107,2.106,1.561,2.877,2.013,2.383,3.353,3.467,3.394,12.003,12.014,12.591,17.869,16.69,16.675,15.08,14.919,13.693,11.299,11.19,9.183,7.531,9.523,8.382,7.35,7.365,6.099,5.805,6.202,6.025,5.299,4.176,4.505,4.438,4.315,5.079,4.169,4.912,5.911,4.788,3.148,3.453,4.494,3.588,5.269,5.799,4.98,4.621,3.683,4.51,5.215,4.154,3.62,4.359,4.227,3.911,3.726,2.677,2.35,3.49,3.965,3.154,3.284,2.856,3.429,3.282,3.004,3.711,3.632,3.562,3.735,2.863,3.161,3.942,3.622,3.226,3.085,2.364,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,11,13.234,7.658,8.205,8.213,8.864,8.299,7.543,6.534,8.235,8.029,6.093,6.374,4.87,5.333,5.125,4.476,4.401,4.611,4.32,3.872,3.716,3.903,5.398,3.553,3.648,4.66,4.335,5.257,2.643,2.726,2.937,2.908,2.29,2.828,4.572,3.883,2.668,3.316,2.782,2.982,2.466,2.836,2.078,2.469,2.948,3.349,2.871,2.035,2.714,3.221,2.635,2.903,2.229,2.47,2.688,2.731,2.406,2.168,1.846,5.809,14.797,5.848,6.337,5.44,6.058,6.282,5.093,5.186,4.817,5.623,5.628,3.948,3.919,2.285,1.595,2.277,1.553,2.472,3.17,2.66,3.131,3.333,3.224,1.869,2.297,1.765,1.424,1.028,2.121,2.222,1.215,1.246,1.768,2.083,1.703,1.617,2.114,2.9,2.463,2.026,2.51,2.194,2.388,2.198,1.912,1.659,1.462,1.89,2.539,2.245,1.921,1.623,1.447,1.507,1.68,1.189,1.729,1.852,1.8,1.133,1.978,2.36,2.629,3.865,3.863,2.849,3.372,4.309,2.253,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,12,14.858,9.792,9.227,9.333,9.214,9.479,8.466,7.758,8.022,6.304,7.044,7.008,6.809,7.187,6.399,5.243,6.088,5.951,5.452,6.401,4.965,4.873,3.444,4.273,5.547,4.963,4.289,5.648,5.774,5.265,4.88,3.791,3.377,3.884,4.88,5.521,2.729,3.955,5.105,4.693,4.502,4.757,3.445,2.99,2.962,2.628,3.871,4.404,3.204,2.11,2.373,2.096,2.116,3.307,4.454,4.302,3.782,3.63,3.211,6.225,19.268,15.953,21.717,22.427,23.172,21.544,20.77,18.226,15.129,15.426,11.998,11.618,11.754,11.005,10.509,11.057,9.487,9.968,9.15,7.902,7.25,8.132,6.177,5.055,5.586,6.799,6.91,5.83,5.256,5.484,5.665,6.538,6.234,5.907,6.381,6.36,6.984,6.038,5.385,5.561,4.615,4.813,3.639,3.742,3.946,4.413,2.94,2.628,2.69,2.91,3.606,2.61,2.477,3.69,2.652,2.676,1.414,2.062,1.854,2.041,2.443,2.926,3.503,1.954,2.182,2.635,3.027,2.837,2.464,1.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
